ReviewID,MemberID,Verified,RealName,ReviewOrder,ProductID,Date,Rating,HelpfulFeedbacks,Feedbacks,Title_x,Body,Sales Rank,Brand,Sales Price,Title_y,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
868162,A3U7B9GCEAM4TS,0,0,8,B00006CBDX,4/30/2003,5,1,5,"Great printer, Great shipping,All is well",Everything was nice and easy. Shipping was about 7 days early. It arrived before the projected ship date.,19203,Canon Office Products,149.99,Canon i850 Photo Printer,EAN->0013803013665,Binding->Electronics,"Feature->Up to 4,800 by 1,200 dpi color, 600 x 600 dpi black",Brand->Canon,"Feature->Prints up to 22 ppm black, 14 ppm color, 4-by-6-inch photo in just 48 seconds",Manufacturer->Canon Office Products,Model->i850,ModemDescription->None,MPN->i850,PackageDimensions,ProductGroup->CE,Publisher->Canon Office Products,ReleaseDate->2002-10-01,Studio->Canon Office Products,Title->Canon i850 Photo Printer,UPC->013803013665,Feature->Microscopic 2-picoliter droplets,Feature->4 individually replaceable ink tanks,Feature->Photo lightfast technology helps photos last approximately 25 years,Label->Canon Office Products,ListPrice
874938,A3N4A3PSGW3M44,0,1,87,B000069K8O,8/25/2006,5,2,2,Excellent remote,"Easy to program, easy to use.  I programmed it to control my digital cable box, dvd player, vcr and tv without a hitch.  The TV is a 20 year old Magnavox and it works like a charm! Great device.",1199,One For All,79.99,One For All URC 9910 Premium Learning Line 8-Device IR/RF Upgradeable Universal Remote Control,Brand->One For All,Batteries->4,EAN->0817386099104,Binding->Electronics,Feature->Controls up to eight devices,IsMemorabilia->0,ItemDimensions,Label->One For All,ListPrice,Manufacturer->One For All,Model->URC9910,MPN->URC9910,PackageDimensions,ProductGroup->CE,Publisher->One For All,Studio->One For All,Feature->Full learning capabilities and upgradeable technology from One For All,Feature->Easy-to-read backlit keypad and LCD display with real-time clock,"Feature->Picture-in-picture, surround sound, sleep timer, mute button and macro functions",Feature->Permanent memory retention during battery changes,IsAutographed->0
811375,A2VTZXP81KKEUQ,0,0,2,B00008Y2EO,1/29/2004,4,0,0,A good phone for the money,After about two months of using this phone...,39104,Uniden,49.99,Uniden EXI3246C 2.4 GHz Extended Range Cordless Phone with Caller ID (Metallic Charcoal),Color->black,Binding->Electronics,EAN->0050633300169,Brand->Uniden,Feature->2.4 GHz analog operation,Label->Uniden,ListPrice,Manufacturer->Uniden,Model->EXI3246C,MPN->EXI3246C,PackageDimensions,ProductGroup->CE,Publisher->Uniden,Studio->Uniden,Title->Uniden EXI3246C 2.4 GHz Extended Range Cordless Phone with Caller ID (Metallic Charcoal),UPC->050633300169,Feature->Caller ID with call waiting,Feature->30 caller ID memory locations; 20 speed dial locations,Feature->Voicemail waiting indicator,"Feature->Headset compatible, belt-clip included",ItemDimensions
817396,A18PZQY8YACHL9,0,0,15,B00008RUL7,6/4/2003,5,3,3,"Great Machine, Great Value...","....  After looking at HP, Sony, dell and Compaq.  I went out to buy 2435-s255 model but end up buying this because the price difference ...between these two models.  The S255 has 2.4 pentium.  But if u are not playing high end games and video editing, this is excellent buy, or as they say ""Best bang for you Buck"".",854,Toshiba,0.0,"Toshiba Satellite 1135-S155 Notebook (2.0-GHz Celeron, 512 MB RAM, 40 GB Hard Drive, DVD/CD-RW Drive)",Brand->Toshiba,BatteryType->Lithium Ion,ComputerHardwareType->Notebook Computer,Binding->Personal Computers,CPUManufacturer->Intel,GraphicsMemorySize->32,HardDiskSize->40,ItemDimensions,KeyboardDescription->Full-Size,Label->Toshiba,Manufacturer->Toshiba,Model->PS113U-05X9YV,ModemDescription->56 Kbps,MPN->PS113U-05X9YV,NativeResolution->1024-by-768,NetworkInterfaceDescription->10-/100-Mbps Ethernet,CPUSpeed->2,CPUType->Intel Celeron,DisplaySize->15,EAN->0032017179721,FloppyDiskDriveDescription->None
822157,A228UKP6QV5S7K,0,0,1,B00008JTHL,1/22/2004,1,1,14,Erik Bryant  - Can you please explain the install procedure,"Erik Bryant from Fremont, CA United States:",0,Pharos,239.95,Pharos PK038 Pocket GPS Navigator Kit for Dell Axim,EAN->0818948000729,Binding->Electronics,"Feature->Voice Prompted, Turn by Turn Navigation with Detailed Street Level Maps for all 50 States",Brand->PHAROS,"Feature->Find a location by address, cross street, contacts or Point of Interest",ItemDimensions,Label->Pharos,"LegalDisclaimer->This Site operates AS-IS and AS-AVAILABLE, without liability of any kind. We are not responsible for events beyond our direct control. This Policy is governed by Florida law, excluding conflicts of law principles. Any legal actions against us must be commenced in Florida within one year after the claim arose, or be barred.",ListPrice,Manufacturer->Pharos,Model->PK038,MPN->PK038,NativeResolution->320x240,PackageDimensions,ProductGroup->CE,Publisher->Pharos,Feature->Use Microsoft Pocket Outlook Contacts as your destination,"Feature->Display shows next turn direction, street name, distance to turn, and distance to destination","Feature->Display highlighted route map or written text directions, and shows active satellites and signal strengths",IsAutographed->0,IsMemorabilia->0
854812,A1Z0SUTZC9TS1A,0,0,306,B00006IJRU,8/4/2003,4,7,7,best product when it comes to gas....,advantages ----------,782,Playtex,10.99,Playtex VentAire Bottles 6oz. - 3pk,Brand->Playtex,BatteriesIncluded->0,EAN->0078300011699,Binding->Baby Product,"Feature->6-oz. bottles with a unique, bubble-free design and bent shape for comfortable bottle-feeding",ListPrice,Manufacturer->Playtex,Model->05750,PackageDimensions,ProductGroup->Baby Product,Publisher->Playtex,ReleaseDate->2006-10-30,Studio->Playtex,Title->Playtex VentAire Bottles 6oz. - 3pk,UPC->078300011699,,Feature->Bottom vent disc eliminates bubbles,"Feature->Less air means less gas, spitting up and discomfort for Baby",Feature->Set of 3 clear bottles with cute pastel tops,Feature->Made in USA,Label->Playtex
880661,ATDXKP4TJKS4F,0,1,5,B000068IHQ,2/21/2003,4,3,5,Zen vs Archos vs Net MD vs IPod. Zen Wins!,Zen vs Archos vs Net MD vs IPod. Zen Wins!,37014,Sony,399.99,Sony MZ-N1 Net MD Walkman Player/Recorder with USB,Brand->Sony,BatteriesIncluded->1,EAN->0027242589728,Binding->Electronics,Feature->Record MP3s or CDs at up to 32x speed on affordable MD media for over 5 hours of music per standard 80-minute disc,ListPrice,Manufacturer->Sony,Model->MZN1,MPN->MZN1,PackageDimensions,ProductGroup->CE,Publisher->Sony,Studio->Sony,Title->Sony MZ-N1 Net MD Walkman Player/Recorder with USB,UPC->027242589728,Warranty->1 year warranty,Feature->Up to 110 hours of playback using the supplied rechargeable battery and 1 AA battery (not included),"Feature->Plays ATRAC3 and ATRAC files; converts audio from MP3, WMA, and WAV files",Feature->Includes USB docking and recharging cradle,Feature->Music-management software ensures seamless file transfers to and from your hard drive; multi-speed transfers via USB port,Label->Sony
885862,A3UJJ7FVRJC7EW,0,0,1,B000066R7R,2/3/2003,5,1,1,JVC Stands On Top! A Stunning Perfect Television!,AV-27F803,152064,JVC,649.95,"JVC AV-27F803 27"" Flat Screen TV (Silver)",DisplaySize->27,Binding->Electronics,EAN->0046838206276,Brand->JVC,"Feature->Real Flat CRT with Invar shadow mask for clear, bright, distortion-free images; 29.875 x 23.375 x 19.75 inches (W x H x D)",ListPrice,Manufacturer->JVC,Model->AV27F803,MPN->AV27F803,ProductGroup->CE,Publisher->JVC,Studio->JVC,"Title->JVC AV-27F803 27"" Flat Screen TV (Silver)",UPC->046838206276,Warranty->1 year warranty,,"Feature->4 MHz, 10-bit digital 3D Y/C comb filter removes blurred edges between colors and reduces dot crawl","Feature->Component-video, S-video, and composite-video inputs; 2-tuner picture in picture","Feature->5 watts per channel, Hyper Surround simulated surround sound",Feature->Illuminated Super Command universal remote with DVD control capability,Label->JVC
891510,APUPJOLIKVGBZ,0,1,1,B0000655ZJ,10/21/2002,1,11,11,A complete waste of money,A complete waste of money.,9175,V Communications,29.95,WEB Easy 4.01,Format->CD,Binding->CD-ROM,Label->V Communications,EAN->0720789038406,ListPrice,Platform->Windows Me,Platform->Windows XP,ProductGroup->Software,Publisher->V Communications,Studio->V Communications,Title->WEB Easy 4.01,UPC->720789038406,,,,,Manufacturer->V Communications,PackageDimensions,Platform->Windows 95,Platform->Windows 98,Platform->Windows 2000
900036,A1PM7EJ8CFY0WJ,0,0,1,B000060NX3,10/17/2002,5,0,6,IS This Comparable To NEC MultiSync 3FGe,Attention:,100686,NEC Display Solutions,0.0,"NEC MultiSync LCD1550M - Flat panel display - TFT - 15"" - 1024 x 768 / 75 Hz - 300 cd/m2 - 450:1 - 25 ms - 0.3 mm - VGA (HD-15) - black",DisplaySize->15,Binding->Electronics,EAN->0805736003246,Brand->NEC,Label->NEC Display Solutions,Publisher->NEC Display Solutions,Studio->NEC Display Solutions,"Title->NEC MultiSync LCD1550M - Flat panel display - TFT - 15"" - 1024 x 768 / 75 Hz - 300 cd/m2 - 450:1 - 25 ms - 0.3 mm - VGA (HD-15) - black",UPC->805736003246,Warranty->3 years warranty,,,,,,,Manufacturer->NEC Display Solutions,Model->LCD1550M,MPN->LCD1550M-BK,PackageDimensions,ProductGroup->CE
