ReviewID,MemberID,Verified,RealName,ReviewOrder,ProductID,Date,Rating,HelpfulFeedbacks,Feedbacks,Title_x,Body,Sales Rank,Brand,Sales Price,Title_y,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
530323,AHJSG8S3J13US,0,0,35,B000E14G7S,7/9/2009,5,0,0,works as advertised,"Everything was in the box and the installation was easy, and now I have good signal inside the house. No more dropped calls.",1752,Wireless Extenders,299.0,Wireless Extenders Cell Phone Signal Booster - 800MHz YX500-CEL,Brand->Wireless Extenders,BatteriesIncluded->0,Color->white,Binding->Wireless Phone Accessory,EAN->0186639000526,IsAutographed->0,IsMemorabilia->0,ItemDimensions,Label->Wireless Extenders,ListPrice,Manufacturer->Wireless Extenders,Model->YX500-CEL,MPN->YX 500-CEL,PackageDimensions,ProductGroup->Wireless,Publisher->Wireless Extenders,Feature->Easy installation,Feature->Covers up to 2500 sq ft,Feature->Extends the battery life of the cell phone,Feature->Can be used to replace the land line,"Feature->Unit brings the outside signal inside, where you need it the most"
535686,A1BNLDFB61V0OP,0,1,38,B000BYGFYU,2/4/2007,2,44,49,"A large-capacity, comfortable backpack for Macs that doesn't provide as much protection as it should","A 17"" Mac Book Pro or Powerbook fits nicely in this backpack, and there's plenty of extra room for the power supply, spare batteries, cables, thumb drives, EVDO cards, etc. Brenthaven changed the design a few months ago.  My wife has an earlier one, which has a less comfortable handle but a removable inner sleeve that velcros closed. The newer style does not have the internal velcro closure, and this was a very costly omission for me.  My backpack, containing my 17"" Powerbook, tipped over, fully zipped, and fell approximately two feet to the floor, with the top of the backpack striking pavement. Fearing the worst but hoping for the best, I removed the computer and was horrified to discover that it had slid right through the internal flap and taken the full brunt of the impact, massively denting and dislocating the side of the computer and damaging the PCMCIA slot. Applecare does not cover this sort of damage, so I ended up eating a multi-hundred dollar repair bill. The backpack is comfortable and capacious, but the lack of protection for a top impact was a deep disappointment.",9091,Brenthaven,179.0,"Brenthaven Pro 15-17 Backpack for MacBook Pro and Powerbook 15-17""",Color->Black Exterior,Binding->Electronics,EAN->0730791234017,Brand->Brenthaven,"Feature->Custom fit for MacBook Pro, Powerbook, and other thin notebooks 15-17"".",Label->Brenthaven,ListPrice,Manufacturer->Brenthaven,MaterialType->Ballistic nylon,Model->2340108,MPN->2340108,PackageDimensions,ProductGroup->CE,Publisher->Brenthaven,Studio->Brenthaven,"Title->Brenthaven Pro 15-17 Backpack for MacBook Pro and Powerbook 15-17""",Feature->Brenthaven patent-pending CORE Protection System protects all 4 corners and 2 side panels.,Feature->Rugged Ballistic Nylon that will keep your laptop bag looking good for years to come.,Feature->Ergonomic padded shoulder straps and handle that distributes weight comfortably.,Feature->The legendary Brenthaven lifetime guarantee!,ItemDimensions
535986,A2HZR1YZ581U72,0,1,82,B000BY9A3I,8/9/2008,3,11,12,Dirt Devil 082700 Vacuum,"Although this vacuum has great suction, I do have some observations to make.  First, if you have stairs, I don't recommend this one.  It ends up falling down the stairs every time you move.  It's too wide to sit on the wheels, and standing up, it is top heavy, so it tips over.  The second thing is that the attachments are supposed to attach to the body and handle.  If you try to do that, they fall off, or worse, break off.  It may be a good concept, but in practice, it just doesn't work.  Thirdly, the wand does not attach to the handle, and the attachments do not attach to the handle or wand.  They just push on.  When they decide to fall apart, watch out.  When they hit your feet, it hurts!!!  Now, here is the biggie.  The fourth problem I found has to do with pet hair.  If you use the beater brush attachment, and you have dogs or cats, you will only use it once, as the hair gets tangled around the beater bar and the wheels, rendering it useless, until you take it apart and pull all the hairs out.  So you will probably end up using the other wide attachment.  The fifth problem is that this attachment swivels in all different directions, but it doesn't return to center.  Every time you hit a furniture leg, the attachment swivels.  Now it doesn't sit flat on the floor, and you have to straighten it with your hand.  If you have a temper, you will be taking this one apart, too, to fix it after you slam it on the floor a couple of times. Again, I will say that it has great suction.  The high pitched squeal seems to be common to this type of vacuum, and if you are close to the cleaner, it probably won't bother you, but other people tend to get very irritated with it. It is evident to me that Dirt Devil built what they thought was a great vacuum, but they didn't bother to have it tested in the real world.  Relying on their reputation, they get your money.  Will I buy another Dirt Devil product?  Not likely.",26039,Dirt Devil,159.99,Dirt Devil 082700 Vision Turbo Canister Vacuum,Brand->Dirt Devil,BatteriesIncluded->0,Color->Red,Binding->Kitchen,EAN->0046034890477,IsAutographed->0,IsMemorabilia->0,ItemDimensions,Label->Dirt Devil,ListPrice,Manufacturer->Dirt Devil,Model->082700,MPN->M082700,PackageDimensions,ProductGroup->Kitchen,Publisher->Dirt Devil,Feature->On/off and variable speed control in handle,Feature->Bagless Technology - you'll never buy bags again,Feature->Aluminum wands with tools on board,Feature->Turbo brush carpet nozzle,Feature->6' electrified clear hose
538245,A12L59NPZYEHCY,0,0,1,B000BREQNE,2/1/2006,4,2,4,Amazing! so far....,"Although we just bought this, it works sooooo much better than the iTrip which was much more expensive! I had to check the title a couple of times to make sure this was the same adapter i bought because everyone reviewing this item seems so negative about it??? I think the sound quality is def equal to that of a cd! which was our big problem with the iTrip - which we wanted to like, but....The reason i was on amazon.com looking and only gave the product 4 instead of 5 stars was that the white doesn't match our car and i don't want it to stand out as someone else has said as something to make a potential break in happen....And as far as the cassette controls working - i didn't even know that it did that, but if it works that will be a bonus! none of the other fm transmitters do that! I would def. recommend buying this ipod accessory AND if that changes in the next week, month, etc... i will come change this review! ps...my husband is very opinionated about the sound quality of his music and was ready to return the whole thing after listening to the ipod over the iTrip connection!  Hope this helps... pps...just noticed that the title says 'dock connector' but the picture doesn't show a dock connection but a jack????",0,Griffin Technology,29.99,Griffin Technology 9503-SDK30 SmartDeck Intelligent Cassette Adapter with Dock Connector for iPod,Brand->Griffin Technology,BatteriesIncluded->0,Color->White,Binding->Electronics,EAN->0685387095032,IsFragile->0,IsMemorabilia->0,ItemDimensions,Label->Griffin Technology,"LegalDisclaimer->This Site operates AS-IS and AS-AVAILABLE, without liability of any kind. We are not responsible for events beyond our direct control. This Policy is governed by Florida law, excluding conflicts of law principles. Any legal actions against us must be commenced in Florida within one year after the claim arose, or be barred.",ListPrice,Manufacturer->Griffin Technology,Model->9503-SDK30,MPN->9503-SDK30,PackageDimensions,ProductGroup->CE,Feature->Control iPod navigation through the car stereo,Feature->Intelligent level control for optimal input levels,Feature->Features highest-quality tape head for crystal clear quality,Feature->Sets optimal volume on the iPod for best audio quality,IsAutographed->0
541171,A1FDGVXIMROFD4,0,0,19,B000BN3T0Y,8/10/2009,1,0,0,Hard to steer,"Although this stroller is light, it is very hard to steer. It seems to stick when you try to turn it. It is nearly impossible to steer with one hand. The adult cup holder is weak and flops over when it's holding a cup (therefore it is useless!)",4823,Peg Perego USA,199.99,Aria MT,Brand->Peg Perego USA,BatteriesIncluded->0,ClothingSize->stroller,Binding->Baby Product,Color->grey/ruby,Feature->Front bumper with child's tray hinges open or removes for easy access to baby,Label->Peg Perego USA,ListPrice,Manufacturer->Peg Perego USA,ManufacturerMinimumAge->1,MaximumWeightRecommendation->4500,Model->IPAA049934,MPN->IPPAA049934GH49CY53,PackageDimensions,ProductGroup->Baby Product,Publisher->Peg Perego USA,EAN->0016337374110,"Feature->Retractable car seat anchors to instantly attach a matching car seat, as well as a universal adapter strap (to attach other manufacturer's car seat)",Feature->Five-point freedom of movement harness for your child's safety and comfort,Feature->Lightweight convenience stroller folds easily and compactly and includes handle for carrying when folded,"Feature->Large, spacious basket and adult cup holder on handle bar"
541345,AP10R0EU0PQIS,0,1,118,B000BMXJR8,2/8/2008,5,0,0,Great Product,"Although this trasmitter is larger than some on the market it gets superior reception/transmission with minimum static.  I have this and I bought my wife an itrip.  When we are in her car her product continually experience static, whereas, the roadtrip by Griffin only gets static when you are driving between cities at which time you simply change the channel/station to find a better signal.  Additionally it is a dock and a charger.  Great Product.",0,Griffin Technology,89.99,Griffin Technology 4031-RDGC RoadTrip FM Transmitter & Auto Charger and Cradle for iPod (Charcoal),Brand->Griffin Technology,BatteriesIncluded->0,Color->Charcoal,Binding->Electronics,EAN->0685387040315,IsAutographed->0,IsMemorabilia->0,ItemDimensions,Label->Griffin Technology,"LegalDisclaimer->This Site operates AS-IS and AS-AVAILABLE, without liability of any kind. We are not responsible for events beyond our direct control. This Policy is governed by Florida law, excluding conflicts of law principles. Any legal actions against us must be commenced in Florida within one year after the claim arose, or be barred.",ListPrice,Manufacturer->Griffin Technology,Model->4031-RDGC,MPN->4031-RDGC,PackageDimensions,ProductGroup->CE,Feature->Convenient one-piece transmitter and charger module uses any frequency from 87.7 to 107.9,Feature->Backlit screen shows which frequency RoadTrip is currently broadcasting,Feature->Transmitter can be removed and used with a Mac or PC computer,Feature->Plugs into any auto power outlet or lighter adapter,"Feature->Compatibility: iPod nano (1G only), iPod mini, 3G iPod, 4G iPod with click wheel, iPod Color, iPod Video"
541588,A2YOMJCBZSYIRJ,0,1,2,B000BMLI12,11/6/2006,5,0,0,Great Arm,"Easy to install. Rock solid construction. This mount probably was not meant for my LCD (this has 4 mounting holes my LCD has 6), so it was kind of offset. This made the monitor tilt sideways. No problem, I leveled the monitor, tightened the tension screw and it has stayed ever since!",4738,OmniMount,249.95,"23"" To 37"" Single Arm LCD Cantilever Mount",EAN->0728901014628,Binding->Electronics,Feature->VESA 100 and 200 compatible,Brand->OmniMount,Feature->Weight capacity: 80 lbs.,Label->OmniMount,ListPrice,Manufacturer->OmniMount,MaterialType->Aluminum,Model->CL-MP,MPN->CL-MP,PackageDimensions,ProductGroup->CE,Publisher->OmniMount,Studio->OmniMount,"Title->23"" To 37"" Single Arm LCD Cantilever Mount",Feature->Cable management,Feature->Single stud mounting,IsAutographed->0,IsMemorabilia->0,ItemDimensions
544939,A36TY5EF5CV4Z0,0,1,8,B000BKJZ0K,5/22/2006,5,0,0,Got the BANG for my bucks!,"Although you'll need an HDTV reciever/set-top for true widescreen over the entire viewing area, the LCD television is great as-is.  (The picture is framev by a black border unless you have the set-top.)The picture was flawless through S-Video, RCA or co-axial able.  The sound was superb. (there is a light hiss when the cable box is turned off and ther TV on, but not audible while watching video.  I had a blast with the TV the first weekend I got it!",13071,Syntax Groups Corporation,849.99,"Syntax Olevia LT27HVX 27"" Flat Panel LCD HD-Ready TV",Brand->Olevia,BatteriesIncluded->0,DisplaySize->27,Binding->Electronics,EAN->0872303008287,IsAutographed->0,IsMemorabilia->0,ItemDimensions,Label->Syntax Groups Corporation,ListPrice,Manufacturer->Syntax Groups Corporation,Model->LT27HVX,MPN->LT27HVX,PackageDimensions,ProductGroup->CE,Publisher->Syntax Groups Corporation,"Feature->HD-Ready: HDTV Monitor. You'll need to add an HDTV tuner (through DIRECTV, DISH Network, cable box or an off-air HDTV receiver) to receive an HD signal","Feature->HD-ready set complemented by numerous inputs like NTSC tuner input, AV, S-Video, Progressive Scan Component inputs, VGA and DVI with HDCP compatibility",Feature->Includes Syntax's new iDEA technology to deliver stellar HD content,"Feature->Features audio enhancements such as lip sync and preset equalizers for rock, speech, movie, normal sound effects","Feature->19.7Hx35Wx8.3L""; 31 lbs."
551768,AKLY9M4KVRAI1,0,1,12,B000AMJC2K,11/12/2007,5,0,0,LCD tv mount,"Easy to install. Mounts through desk or on edge.  Great look, sleek, and moves in any direction imaginable.",17540,Ergotron,89.99,ERGOTRON NEO-FLEX ARM-EXTENSION GROMMET DESK MT ( 45-174-300 ),EAN->0698833004021,Binding->Electronics,IsAutographed->0,Brand->Ergotron,IsMemorabilia->0,Model->45-174-300,MPN->45-174-300,PackageDimensions,ProductGroup->CE,Publisher->Ergotron,Studio->Ergotron,Title->ERGOTRON NEO-FLEX ARM-EXTENSION GROMMET DESK MT ( 45-174-300 ),UPC->698833004021,Warranty->3 years warranty,,,ItemDimensions,Label->Ergotron,"LegalDisclaimer->This Site operates AS-IS and AS-AVAILABLE, without liability of any kind. We are not responsible for events beyond our direct control. This Policy is governed by Florida law, excluding conflicts of law principles. Any legal actions against us must be commenced in Florida within one year after the claim arose, or be barred.",ListPrice,Manufacturer->Ergotron
552384,A2RJGAC03GKT16,0,1,3,B000ALDROU,8/29/2005,5,3,3,"buy the best , leave the rest",easy to install. you will most likely need a left and a right. on jeeps you may need a TORX female socket to remove and replace arms. HIGHLY RECOMMENDED,13555,Strong Arm,33.26,Parts Master by Strong Arm SAM4857  Lift Support,EAN->0043645642037,Binding->Misc.,Feature->Please note that this part may come packaged in a Strong Arm container,Brand->Strong Arm,IsAutographed->0,MPN->4857,PackageDimensions,ProductGroup->Automotive Parts and Accessories,Publisher->Strong Arm,Studio->Strong Arm,Title->Parts Master by Strong Arm SAM4857  Lift Support,UPC->043645642037,,,,,IsMemorabilia->0,Label->Strong Arm,ListPrice,Manufacturer->Strong Arm,Model->SAM4857
